city,toss_winner,team1,team2,toss_decision,match_winner,win_by_runs,win_by_wickets
Bengaluru,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,25.0,0.0
Kolkata,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Rajasthan Royals,0.0,2.0
Ahmedabad,Delhi Capitals,Gujarat Titans,Delhi Capitals,field,Delhi Capitals,0.0,6.0
Mohali,Punjab Kings,Mumbai Indians,Punjab Kings,field,Mumbai Indians,9.0,0.0
Lucknow,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,field,Lucknow Super Giants,0.0,8.0
Delhi,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Sunrisers Hyderabad,67.0,0.0
Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,1.0,0.0
Mohali,Punjab Kings,Punjab Kings,Gujarat Titans,bat,Gujarat Titans,0.0,3.0
Jaipur,Mumbai Indians,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,0.0,9.0
Chennai,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,field,Lucknow Super Giants,0.0,6.0
Delhi,Gujarat Titans,Delhi Capitals,Gujarat Titans,field,Delhi Capitals,4.0,0.0
Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,35.0,0.0
Kolkata,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,Punjab Kings,0.0,8.0
Delhi,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Delhi Capitals,10.0,0.0
Lucknow,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,field,Rajasthan Royals,0.0,7.0
Ahmedabad,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,9.0
Chennai,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,78.0,0.0
Kolkata,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,0.0,7.0
Lucknow,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,field,Lucknow Super Giants,0.0,4.0
Chennai,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Punjab Kings,0.0,7.0
Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,1.0,0.0
Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,24.0,0.0
Bengaluru,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,4.0
Dharamsala,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Chennai Super Kings,28.0,0.0
Lucknow,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,field,Kolkata Knight Riders,98.0,0.0
Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,0.0,7.0
Delhi,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,Delhi Capitals,20.0,0.0
Hyderabad,Lucknow Super Giants,Lucknow Super Giants,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0.0,10.0
Dharamsala,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Royal Challengers Bangalore,60.0,0.0
Ahmedabad,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,field,Gujarat Titans,35.0,0.0
Kolkata,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,18.0,0.0
Chennai,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,0.0,5.0
Bengaluru,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,47.0,0.0
Delhi,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,field,Delhi Capitals,19.0,0.0
Guwahati,Rajasthan Royals,Rajasthan Royals,Punjab Kings,bat,Punjab Kings,0.0,5.0
Mumbai,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,field,Lucknow Super Giants,18.0,0.0
Bengaluru,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore,27.0,0.0
Hyderabad,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0.0,4.0
Ahmedabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,0.0,8.0
Ahmedabad,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,0.0,4.0
Chennai,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Sunrisers Hyderabad,36.0,0.0
Chennai,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,0.0,8.0
Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,7.0
Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Sunrisers Hyderabad,44.0,0.0
Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,0.0,4.0
Visakhapatnam,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,Delhi Capitals,0.0,1.0
Ahmedabad,Gujarat Titans,Punjab Kings,Gujarat Titans,field,Punjab Kings,11.0,0.0
Guwahati,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,8.0
Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,field,Lucknow Super Giants,0.0,5.0
Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore,50.0,0.0
Chandigarh,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,33.0,0.0
Delhi,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Delhi Capitals,0.0,9.0
Mumbai,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0.0,5.0
Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,0.0,5.0
Jaipur,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Rajasthan Royals,0.0,6.0
Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,0.0,9.0
Chennai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Chennai Super Kings,6.0,0.0
Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals,0.0,3.0
Chandigarh,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Punjab Kings,66.0,0.0
Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,0.0,7.0
Chennai,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,0.0,9.0
Mumbai,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,10.0
Chandigarh,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Punjab Kings,0.0,4.0
Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,13.0,0.0
Kolkata,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,0.0,7.0
Delhi,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,Delhi Capitals,10.0,0.0
Hyderabad,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Punjab Kings,0.0,7.0
Jaipur,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,bat,Rajasthan Royals,45.0,0.0
Chennai,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,0.0,8.0
Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0.0,5.0
Chandigarh,Punjab Kings,Punjab Kings,Kolkata Knight Riders,bat,Punjab Kings,9.0,0.0
Mumbai,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Mumbai Indians,29.0,0.0
Jaipur,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,0.0,8.0
Bangalore,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Punjab Kings,0.0,6.0
Chennai,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,7.0
Mumbai,Mumbai Indians,Mumbai Indians,Rajasthan Royals,field,Mumbai Indians,0.0,7.0
Delhi,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings,0.0,4.0
Kolkata,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Kolkata Knight Riders,5.0,0.0
Jaipur,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,0.0,8.0
Bangalore,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,0.0,9.0
Chennai,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Chennai Super Kings,18.0,0.0
Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,23.0,0.0
Jaipur,Rajasthan Royals,Rajasthan Royals,Delhi Capitals,field,Rajasthan Royals,0.0,3.0
Chandigarh,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Punjab Kings,0.0,9.0
Kolkata,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,23.0,0.0
Mumbai,Mumbai Indians,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,0.0,9.0
Chandigarh,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Punjab Kings,41.0,0.0
Delhi,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Delhi Capitals,12.0,0.0
Mumbai,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,0.0,8.0
Delhi,Delhi Capitals,Delhi Capitals,Punjab Kings,bat,Punjab Kings,6.0,0.0
Jaipur,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Rajasthan Royals,65.0,0.0
Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,25.0,0.0
Kolkata,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,3.0,0.0
Bangalore,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Delhi Capitals,0.0,5.0
Kolkata,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Rajasthan Royals,0.0,6.0
Mumbai,Mumbai Indians,Mumbai Indians,Punjab Kings,field,Punjab Kings,1.0,0.0
Chennai,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,14.0,0.0
Chandigarh,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,field,Punjab Kings,0.0,6.0
Delhi,Delhi Capitals,Delhi Capitals,Mumbai Indians,field,Delhi Capitals,0.0,5.0
Chennai,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,10.0,0.0
Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Royal Challengers Bangalore,3.0,0.0
Kolkata,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Kolkata Knight Riders,0.0,3.0
Jaipur,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,field,Rajasthan Royals,0.0,5.0
Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,0.0,7.0
Mumbai,Delhi Capitals,Delhi Capitals,Rajasthan Royals,field,Rajasthan Royals,105.0,0.0
Mumbai,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,Chennai Super Kings,0.0,9.0
Mumbai,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Rajasthan Royals,0.0,3.0
Cape Town,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,19.0,0.0
Cape Town,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,75.0,0.0
Cape Town,Delhi Capitals,Delhi Capitals,Punjab Kings,field,Delhi Capitals,0.0,10.0
Cape Town,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Sunrisers Hyderabad,0.0,8.0
Port Elizabeth,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,92.0,0.0
Durban,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,11.0,0.0
Cape Town,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,24.0,0.0
Durban,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,9.0,0.0
Cape Town,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,field,Rajasthan Royals,0.0,0.0
Durban,Royal Challengers Bangalore,Royal Challengers Bangalore,Punjab Kings,bat,Punjab Kings,0.0,7.0
Durban,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad,12.0,0.0
Port Elizabeth,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,0.0,6.0
Cape Town,Punjab Kings,Punjab Kings,Rajasthan Royals,bat,Punjab Kings,27.0,0.0
Durban,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,6.0
Port Elizabeth,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,92.0,0.0
Centurion,Delhi Capitals,Delhi Capitals,Rajasthan Royals,bat,Rajasthan Royals,0.0,5.0
Durban,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,0.0,5.0
Durban,Punjab Kings,Punjab Kings,Mumbai Indians,bat,Punjab Kings,3.0,0.0
Centurion,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,0.0,6.0
Centurion,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Chennai Super Kings,38.0,0.0
East London,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,9.0,0.0
Durban,Royal Challengers Bangalore,Royal Challengers Bangalore,Punjab Kings,bat,Royal Challengers Bangalore,8.0,0.0
Port Elizabeth,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,bat,Rajasthan Royals,0.0,3.0
Johannesburg,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Chennai Super Kings,18.0,0.0
Port Elizabeth,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Punjab Kings,0.0,6.0
Johannesburg,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,0.0,9.0
East London,Chennai Super Kings,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,78.0,0.0
Durban,Punjab Kings,Punjab Kings,Rajasthan Royals,field,Rajasthan Royals,78.0,0.0
Durban,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Delhi Capitals,0.0,9.0
Centurion,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad,19.0,0.0
Centurion,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,0.0,7.0
Centurion,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Chennai Super Kings,12.0,0.0
East London,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Delhi Capitals,0.0,7.0
Kimberley,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Punjab Kings,0.0,3.0
Kimberley,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,0.0,7.0
Port Elizabeth,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,16.0,0.0
Johannesburg,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,field,Delhi Capitals,0.0,7.0
Kimberley,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,53.0,0.0
Centurion,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,0.0,6.0
Centurion,Punjab Kings,Punjab Kings,Mumbai Indians,bat,Mumbai Indians,0.0,8.0
Durban,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,12.0,0.0
Durban,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Royal Challengers Bangalore,0.0,2.0
Durban,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,2.0,0.0
Bloemfontein,Punjab Kings,Delhi Capitals,Punjab Kings,field,Punjab Kings,0.0,6.0
Port Elizabeth,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,0.0,7.0
Johannesburg,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,0.0,6.0
Johannesburg,Sunrisers Hyderabad,Sunrisers Hyderabad,Punjab Kings,field,Punjab Kings,1.0,0.0
Bloemfontein,Delhi Capitals,Delhi Capitals,Rajasthan Royals,bat,Delhi Capitals,14.0,0.0
Centurion,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,0.0,7.0
Johannesburg,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Royal Challengers Bangalore,0.0,7.0
Durban,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,0.0,4.0
Durban,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Chennai Super Kings,24.0,0.0
Centurion,Delhi Capitals,Delhi Capitals,Mumbai Indians,field,Delhi Capitals,0.0,4.0
Centurion,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,12.0,0.0
Centurion,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,6.0
Johannesburg,Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore,0.0,6.0
Johannesburg,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Sunrisers Hyderabad,6.0,0.0
Mumbai,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders,11.0,0.0
Mumbai,Mumbai Indians,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,4.0,0.0
Chandigarh,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,0.0,5.0
Kolkata,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,0.0,7.0
Chennai,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,31.0,0.0
Ahmedabad,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Delhi Capitals,0.0,6.0
Bangalore,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,bat,Royal Challengers Bangalore,0.0,8.0
Kolkata,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,55.0,0.0
Delhi,Delhi Capitals,Delhi Capitals,Mumbai Indians,field,Mumbai Indians,98.0,0.0
Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,field,Royal Challengers Bangalore,0.0,10.0
Delhi,Delhi Capitals,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,0.0,5.0
Cuttack,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Sunrisers Hyderabad,6.0,0.0
Ahmedabad,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,bat,Rajasthan Royals,34.0,0.0
Mumbai,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0.0,7.0
Cuttack,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,10.0,0.0
Chennai,Chennai Super Kings,Chennai Super Kings,Punjab Kings,field,Punjab Kings,0.0,0.0
Mumbai,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,0.0,7.0
Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore,36.0,0.0
Chandigarh,Punjab Kings,Punjab Kings,Rajasthan Royals,field,Rajasthan Royals,31.0,0.0
Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,0.0,5.0
Ahmedabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,0.0,8.0
Chandigarh,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,39.0,0.0
Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Capitals,field,Delhi Capitals,17.0,0.0
Ahmedabad,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,17.0,0.0
Mumbai,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,41.0,0.0
Delhi,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,bat,Delhi Capitals,40.0,0.0
Mumbai,Mumbai Indians,Mumbai Indians,Punjab Kings,field,Mumbai Indians,0.0,4.0
Chennai,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,0.0,5.0
Delhi,Delhi Capitals,Delhi Capitals,Rajasthan Royals,bat,Delhi Capitals,67.0,0.0
Kolkata,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,24.0,0.0
Chandigarh,Punjab Kings,Punjab Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0.0,6.0
Chennai,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,23.0,0.0
Mumbai,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,63.0,0.0
Kolkata,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,bat,Punjab Kings,0.0,8.0
Delhi,Delhi Capitals,Delhi Capitals,Royal Challengers Bangalore,bat,Delhi Capitals,37.0,0.0
Nagpur,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Rajasthan Royals,2.0,0.0
Chennai,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,24.0,0.0
Jaipur,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Rajasthan Royals,0.0,9.0
Kolkata,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,14.0,0.0
Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,7.0
Chandigarh,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Punjab Kings,0.0,6.0
Nagpur,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Sunrisers Hyderabad,0.0,6.0
Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,0.0,7.0
Delhi,Delhi Capitals,Delhi Capitals,Punjab Kings,bat,Punjab Kings,0.0,7.0
Jaipur,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,37.0,0.0
Nagpur,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,13.0,0.0
Mumbai,Mumbai Indians,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,39.0,0.0
Chennai,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,0.0,9.0
Jaipur,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0.0,5.0
Chennai,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,0.0,6.0
Dharamsala,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,5.0
Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,57.0,0.0
Kolkata,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders,0.0,8.0
Dharamsala,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Chennai Super Kings,0.0,6.0
Delhi,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,11.0,0.0
Kolkata,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Kolkata Knight Riders,0.0,9.0
Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,35.0,0.0
Mumbai,Chennai Super Kings,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,38.0,0.0
Mumbai,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,0.0,9.0
Mumbai,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,22.0,0.0
Chennai,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,2.0,0.0
Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals,0.0,8.0
Kochi,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0.0,6.0
Delhi,Delhi Capitals,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,0.0,8.0
Mumbai,Punjab Kings,Pune Warriors,Punjab Kings,bat,Pune Warriors,0.0,7.0
Kolkata,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,9.0,0.0
Jaipur,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Rajasthan Royals,0.0,6.0
Bangalore,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,0.0,9.0
Chandigarh,Punjab Kings,Punjab Kings,Chennai Super Kings,field,Punjab Kings,0.0,6.0
Mumbai,Kochi Tuskers Kerala,Pune Warriors,Kochi Tuskers Kerala,bat,Pune Warriors,0.0,4.0
Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,33.0,0.0
Jaipur,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,9.0
Mumbai,Kochi Tuskers Kerala,Mumbai Indians,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,0.0,8.0
Chennai,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,21.0,0.0
