city,toss_winner,team1,team2,toss_decision,match_winner,win_by_runs,win_by_wickets
Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,31.0,0.0
Bengaluru,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,0.0,5.0
Hyderabad,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Sunrisers Hyderabad,13.0,0.0
Delhi,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Delhi Capitals,55.0,0.0
Pune,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,0.0,8.0
Jaipur,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,11.0,0.0
Bengaluru,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,6.0
Pune,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Chennai Super Kings,13.0,0.0
Bengaluru,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Royal Challengers Bangalore,14.0,0.0
Delhi,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,Delhi Capitals,4.0,0.0
Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,6.0
Indore,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Mumbai Indians,0.0,6.0
Pune,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,0.0,6.0
Hyderabad,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0.0,7.0
Mumbai,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,13.0,0.0
Indore,Punjab Kings,Rajasthan Royals,Punjab Kings,field,Punjab Kings,0.0,6.0
Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,5.0,0.0
Jaipur,Rajasthan Royals,Rajasthan Royals,Punjab Kings,bat,Rajasthan Royals,15.0,0.0
Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,102.0,0.0
Delhi,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0.0,9.0
Jaipur,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,0.0,4.0
Indore,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,Kolkata Knight Riders,31.0,0.0
Delhi,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,5.0
Pune,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,0.0,8.0
Mumbai,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,0.0,7.0
Indore,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,10.0
Kolkata,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,6.0
Mumbai,Punjab Kings,Mumbai Indians,Punjab Kings,field,Mumbai Indians,3.0,0.0
Bengaluru,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Royal Challengers Bangalore,14.0,0.0
Delhi,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Delhi Capitals,34.0,0.0
Jaipur,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,bat,Rajasthan Royals,30.0,0.0
Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,0.0,5.0
Delhi,Delhi Capitals,Delhi Capitals,Mumbai Indians,bat,Delhi Capitals,11.0,0.0
Pune,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Chennai Super Kings,0.0,5.0
Mumbai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,0.0,2.0
Kolkata,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,25.0,0.0
Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,14.0,0.0
Mumbai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,0.0,8.0
Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,0.0,7.0
Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,6.0
Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Delhi Capitals,37.0,0.0
Jaipur,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Punjab Kings,14.0,0.0
Delhi,Delhi Capitals,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,0.0,6.0
Kolkata,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,Kolkata Knight Riders,28.0,0.0
Bengaluru,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,6.0,0.0
Hyderabad,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0.0,5.0
Chandigarh,Punjab Kings,Mumbai Indians,Punjab Kings,field,Punjab Kings,0.0,8.0
Delhi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,0.0,0.0
Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,118.0,0.0
Chennai,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Chennai Super Kings,8.0,0.0
Chandigarh,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,14.0,0.0
Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,0.0,7.0
Mumbai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,37.0,0.0
Delhi,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,5.0
Bengaluru,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,5.0
Chennai,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Chennai Super Kings,22.0,0.0
Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,40.0,0.0
Bengaluru,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Delhi Capitals,0.0,4.0
Jaipur,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,8.0
Chandigarh,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Punjab Kings,0.0,6.0
